都道府県コード,都道府県名,市区町村コード,市区町村名,大字町丁目コード,大字町丁目名,緯度,経度,原典資料コード,大字・字・丁目区分コード,geo3x3,localcode
01,北海道,01202,函館市,012020001000,青柳町,41.757089,140.716562,0,1,E92471969457,1969457
01,北海道,01202,函館市,012020002001,赤川一丁目,41.825774,140.759918,0,3,E92472777314,2777314
01,北海道,01202,函館市,012020003000,赤川町,41.841914,140.771936,0,1,E92472778487,2778487
01,北海道,01202,函館市,012020004000,赤坂町,41.776305,140.833698,0,1,E92472781272,2781272
01,北海道,01202,函館市,012020005000,浅野町,41.794626,140.725521,0,1,E92471993881,1993881
01,北海道,01202,函館市,012020006000,旭岡町,41.800661,140.836041,0,1,E92472784251,2784251
01,北海道,01202,函館市,012020007000,旭町,41.766831,140.728006,0,1,E92471969883,1969883
01,北海道,01202,函館市,012020008000,石川町,41.835341,140.743643,0,1,E92472777416,2777416
01,北海道,01202,函館市,012020009000,石倉町,41.772750,140.850854,0,1,E92472782141,2782141
01,北海道,01202,函館市,012020010000,石崎町,41.753216,140.879141,0,1,E92472759415,2759415
01,北海道,01202,函館市,012020011000,入舟町,41.767381,140.695320,0,1,E92471968871,1968871
01,北海道,01202,函館市,012020012000,岩戸町,41.984194,140.859274,0,1,E92475155766,5155766
01,北海道,01202,函館市,012020013000,庵原町,41.813705,140.875763,0,1,E92472785694,2785694
01,北海道,01202,函館市,012020014000,上野町,41.785923,140.799481,0,1,E92472773484,2773484
01,北海道,01202,函館市,012020015000,宇賀浦町,41.771121,140.744237,0,1,E92472771124,2771124
01,北海道,01202,函館市,012020016000,臼尻町,41.922249,140.939305,0,1,E92475138491,5138491
01,北海道,01202,函館市,012020017000,絵紙山町,41.833618,141.116063,0,1,E92472888611,2888611
01,北海道,01202,函館市,012020018000,恵山町,41.788415,141.154788,0,1,E92472891713,2891713
01,北海道,01202,函館市,012020019000,恵山岬町,41.811536,141.176836,0,1,E92472894667,2894667
01,北海道,01202,函館市,012020020000,榎本町,41.786710,140.793825,0,1,E92472772695,2772695
01,北海道,01202,函館市,012020021000,追分町,41.798688,140.731485,0,1,E92471996236,1996236
01,北海道,01202,函館市,012020022000,大川町,41.797915,140.738935,0,1,E92471996332,1996332
01,北海道,01202,函館市,012020023000,大手町,41.769277,140.723697,0,1,E92471969878,1969878
01,北海道,01202,函館市,012020024000,大縄町,41.781137,140.734669,0,1,E92471993627,1993627
01,北海道,01202,函館市,012020025000,大船町,41.951787,140.912237,0,1,E92475161497,5161497
01,北海道,01202,函館市,012020026000,大町,41.769485,140.709669,0,1,E92471968989,1968989
01,北海道,01202,函館市,012020027000,大澗町,41.750894,141.069427,0,1,E92472849399,2849399
01,北海道,01202,函館市,012020028000,大森町,41.767850,140.734049,0,1,E92471969976,1969976
01,北海道,01202,函館市,012020029000,尾札部町,41.869442,141.003943,0,1,E92475211598,5211598
01,北海道,01202,函館市,012020030000,小安町,41.747788,140.909286,0,1,E92472767157,2767157
01,北海道,01202,函館市,012020031000,小安山町,41.756189,140.925074,0,1,E92472767645,2767645
01,北海道,01202,函館市,012020032000,海岸町,41.781330,140.729485,0,1,E92471993537,1993537
01,北海道,01202,函館市,012020033001,鍛治一丁目,41.804169,140.763830,0,3,E92472774385,2774385
01,北海道,01202,函館市,012020033002,鍛治二丁目,41.807475,140.767099,0,3,E92472774635,2774635
01,北海道,01202,函館市,012020034000,柏木町,41.787396,140.767252,0,1,E92472771699,2771699
01,北海道,01202,函館市,012020035000,柏野町,41.800019,141.149656,0,1,E92472886337,2886337
01,北海道,01202,函館市,012020036000,川汲町,41.890948,140.950775,0,1,E92475135539,5135539
01,北海道,01202,函館市,012020037000,金堀町,41.776165,140.760452,0,1,E92472771372,2771372
01,北海道,01202,函館市,012020038000,蛾眉野町,41.808547,140.973410,0,1,E92472796527,2796527
01,北海道,01202,函館市,012020039000,釜谷町,41.741319,140.941369,0,1,E92472765799,2765799
01,北海道,01202,函館市,012020040000,上新川町,41.780445,140.738240,0,1,E92471993634,1993634
01,北海道,01202,函館市,012020041001,神山一丁目,41.816009,140.762758,0,3,E92472774921,2774921
01,北海道,01202,函館市,012020041002,神山二丁目,41.812340,140.767340,0,3,E92472774693,2774693
01,北海道,01202,函館市,012020041003,神山三丁目,41.816222,140.767715,0,3,E92472774933,2774933
01,北海道,01202,函館市,012020042000,神山町,41.826042,140.766486,0,1,E92472777335,2777335
01,北海道,01202,函館市,012020043000,上湯川町,41.786339,140.818912,0,1,E92472773685,2773685
01,北海道,01202,函館市,012020044000,亀尾町,41.798079,140.850650,0,1,E92472785114,2785114
01,北海道,01202,函館市,012020045000,亀田大森町,41.892755,140.806255,0,1,E92475116545,5116545
01,北海道,01202,函館市,012020046000,亀田中野町,41.874508,140.774003,0,1,E92475112756,5112756
01,北海道,01202,函館市,012020047000,亀田本町,41.805284,140.737214,0,1,E92471996389,1996389
01,北海道,01202,函館市,012020048000,亀田町,41.795478,140.733781,0,1,E92471993976,1993976
01,北海道,01202,函館市,012020049000,亀田港町,41.808978,140.726763,0,1,E92471996528,1996528
01,北海道,01202,函館市,012020050000,川上町,41.770659,141.067337,0,1,E92472873334,2873334
01,北海道,01202,函館市,012020051000,川原町,41.791411,140.773504,0,1,E92472772753,2772753
01,北海道,01202,函館市,012020052001,桔梗一丁目,41.829766,140.729474,0,3,E92471999267,1999267
01,北海道,01202,函館市,012020052002,桔梗二丁目,41.838077,140.728345,0,3,E92471999556,1999556
01,北海道,01202,函館市,012020052003,桔梗三丁目,41.845133,140.726998,0,3,E92471999828,1999828
01,北海道,01202,函館市,012020052004,桔梗四丁目,41.849562,140.725604,0,3,E92471999881,1999881
01,北海道,01202,函館市,012020052005,桔梗五丁目,41.849476,140.732538,0,3,E92471999971,1999971
01,北海道,01202,函館市,012020053000,桔梗町,41.850869,140.749613,0,1,E92472777799,2777799
01,北海道,01202,函館市,012020054000,北浜町,41.798094,140.727481,0,1,E92471996225,1996225
01,北海道,01202,函館市,012020055001,北美原一丁目,41.827555,140.746555,0,3,E92472777153,2777153
01,北海道,01202,函館市,012020055002,北美原二丁目,41.828771,140.750001,0,3,E92472777244,2777244
01,北海道,01202,函館市,012020055003,北美原三丁目,41.830508,140.752638,0,3,E92472777249,2777249
01,北海道,01202,函館市,012020056000,吉畑町,41.747158,141.052094,0,1,E92472849244,2849244
01,北海道,01202,函館市,012020057000,木直町,41.867765,141.070748,0,1,E92475221471,5221471
01,北海道,01202,函館市,012020058000,古武井町,41.788356,141.117510,0,1,E92472882912,2882912
01,北海道,01202,函館市,012020059000,駒場町,41.782328,140.773885,0,1,E92472772453,2772453
01,北海道,01202,函館市,012020060000,五稜郭町,41.796043,140.754373,0,1,E92472771888,2771888
01,北海道,01202,函館市,012020061000,栄町,41.764572,140.726446,0,1,E92471969854,1969854
01,北海道,01202,函館市,012020062000,汐首町,41.722300,140.957205,0,1,E92472765394,2765394
01,北海道,01202,函館市,012020063000,東雲町,41.769119,140.729958,0,1,E92471969898,1969898
01,北海道,01202,函館市,012020064000,志海苔町,41.765668,140.820906,0,1,E92472749967,2749967
01,北海道,01202,函館市,012020065000,島泊町,41.826254,141.145785,0,1,E92472889316,2889316
01,北海道,01202,函館市,012020066001,昭和一丁目,41.816319,140.743487,0,3,E92472774716,2774716
01,北海道,01202,函館市,012020066002,昭和二丁目,41.813586,140.738710,0,3,E92471996695,1996695
01,北海道,01202,函館市,012020066003,昭和三丁目,41.820507,140.736437,0,3,E92471996958,1996958
01,北海道,01202,函館市,012020066004,昭和四丁目,41.816774,140.731886,0,3,E92471996914,1996914
01,北海道,01202,函館市,012020067000,昭和町,41.816021,140.726049,0,1,E92471996821,1996821
01,北海道,01202,函館市,012020068000,白鳥町,41.793392,140.745547,0,1,E92472771758,2771758
01,北海道,01202,函館市,012020069000,白石町,41.762069,140.904494,0,1,E92472759936,2759936
01,北海道,01202,函館市,012020070000,新恵山町,41.815750,141.138471,0,1,E92472886822,2886822
01,北海道,01202,函館市,012020071001,陣川一丁目,41.818089,140.775280,0,3,E92472775737,2775737
01,北海道,01202,函館市,012020071002,陣川二丁目,41.818458,140.772201,0,3,E92472775751,2775751
01,北海道,01202,函館市,012020072000,新川町,41.776066,140.735688,0,1,E92471993382,1993382
01,北海道,01202,函館市,012020073000,陣川町,41.838459,140.796321,0,1,E92472779444,2779444
01,北海道,01202,函館市,012020074000,新八幡町,41.828032,141.141682,0,1,E92472889262,2889262
01,北海道,01202,函館市,012020075000,新浜町,41.832463,141.140237,0,1,E92472889294,2889294
01,北海道,01202,函館市,012020076000,新二見町,41.728416,141.025510,0,1,E92472845545,2845545
01,北海道,01202,函館市,012020077000,新湊町,41.760965,140.847371,0,1,E92472757923,2757923
01,北海道,01202,函館市,012020078000,末広町,41.764818,140.716105,0,1,E92471969746,1969746
01,北海道,01202,函館市,012020079000,杉並町,41.788494,140.757182,0,1,E92472771832,2771832
01,北海道,01202,函館市,012020080000,鈴蘭丘町,41.819997,140.831412,0,1,E92472784766,2784766
01,北海道,01202,函館市,012020081000,住吉町,41.750631,140.717301,0,1,E92471969187,1969187
01,北海道,01202,函館市,012020082000,瀬田来町,41.727398,140.974130,0,1,E92472766552,2766552
01,北海道,01202,函館市,012020083000,瀬戸川町,41.777002,140.823324,0,1,E92472781174,2781174
01,北海道,01202,函館市,012020084000,銭亀町,41.762368,140.833120,0,1,E92472757814,2757814
01,北海道,01202,函館市,012020085000,高丘町,41.789323,140.803342,0,1,E92472773735,2773735
01,北海道,01202,函館市,012020086000,高岱町,41.799444,141.108397,0,1,E92472885218,2885218
01,北海道,01202,函館市,012020087000,高松町,41.775204,140.806888,0,1,E92472773249,2773249
01,北海道,01202,函館市,012020088000,高盛町,41.774074,140.744440,0,1,E92472771154,2771154
01,北海道,01202,函館市,012020089000,滝沢町,41.800736,140.802341,0,1,E92472776161,2776161
01,北海道,01202,函館市,012020090000,館町,41.725784,140.999955,0,1,E92472844524,2844524
01,北海道,01202,函館市,012020091000,田家町,41.797829,140.746069,0,1,E92472774123,2774123
01,北海道,01202,函館市,012020092000,千歳町,41.773587,140.737904,0,1,E92471993361,1993361
01,北海道,01202,函館市,012020093000,銚子町,41.846273,141.141100,0,1,E92472889862,2889862
01,北海道,01202,函館市,012020094000,千代台町,41.784369,140.747169,0,1,E92472771467,2771467
01,北海道,01202,函館市,012020095000,鶴野町,41.766300,140.885256,0,1,E92472759768,2759768
01,北海道,01202,函館市,012020096000,鉄山町,41.821413,140.919246,0,1,E92472794882,2794882
01,北海道,01202,函館市,012020097000,銅山町,41.799897,140.821488,0,1,E92472776338,2776338
01,北海道,01202,函館市,012020098000,時任町,41.783077,140.753845,0,1,E92472771554,2771554
01,北海道,01202,函館市,012020099000,戸倉町,41.782669,140.801868,0,1,E92472773461,2773461
01,北海道,01202,函館市,012020100000,泊町,41.716133,141.001879,0,1,E92472844225,2844225
01,北海道,01202,函館市,012020101000,富浦町,41.825567,141.154142,0,1,E92472897115,2897115
01,北海道,01202,函館市,012020102001,富岡町一丁目,41.806444,140.744064,0,3,E92472774421,2774421
01,北海道,01202,函館市,012020102002,富岡町二丁目,41.805975,140.751504,0,3,E92472774278,2774278
01,北海道,01202,函館市,012020102003,富岡町三丁目,41.810023,140.753743,0,3,E92472774551,2774551
01,北海道,01202,函館市,012020103000,豊浦町,41.745923,141.061123,0,1,E92472849341,2849341
01,北海道,01202,函館市,012020104000,豊川町,41.767056,140.720009,0,1,E92471969791,1969791
01,北海道,01202,函館市,012020105000,豊崎町,41.938979,140.924819,0,1,E92475161345,5161345
01,北海道,01202,函館市,012020106000,豊原町,41.777958,140.870488,0,1,E92472782378,2782378
01,北海道,01202,函館市,012020107000,寅沢町,41.874755,140.835964,0,1,E92475121854,5121854
01,北海道,01202,函館市,012020108000,中島町,41.784119,140.741837,0,1,E92472771448,2771448
01,北海道,01202,函館市,012020109000,中野町,41.771735,140.841391,0,1,E92472781317,2781317
01,北海道,01202,函館市,012020110000,中浜町,41.756529,141.064027,0,1,E92472849657,2849657
01,北海道,01202,函館市,012020111001,中道一丁目,41.802548,140.755517,0,3,E92472774259,2774259
01,北海道,01202,函館市,012020111002,中道二丁目,41.809070,140.759955,0,3,E92472774617,2774617
01,北海道,01202,函館市,012020112001,西旭岡町一丁目,41.794538,140.822525,0,3,E92472773993,2773993
01,北海道,01202,函館市,012020112002,西旭岡町二丁目,41.798799,140.827461,0,3,E92472784125,2784125
01,北海道,01202,函館市,012020112003,西旭岡町三丁目,41.805766,140.834251,0,3,E92472784279,2784279
01,北海道,01202,函館市,012020113000,西桔梗町,41.832320,140.715029,0,1,E92471999175,1999175
01,北海道,01202,函館市,012020114000,根崎町,41.770225,140.802433,0,1,E92472773131,2773131
01,北海道,01202,函館市,012020115000,乃木町,41.780909,140.763518,0,1,E92472771628,2771628
01,北海道,01202,函館市,012020116000,函館山,41.752646,140.701819,0,1,E92471968534,1968534
01,北海道,01202,函館市,012020117000,八幡町,41.793276,140.739207,0,1,E92471993968,1993968
01,北海道,01202,函館市,012020118000,花園町,41.791952,140.781509,0,1,E92472772855,2772855
01,北海道,01202,函館市,012020119000,浜町,41.731532,141.009779,0,1,E92472844684,2844684
01,北海道,01202,函館市,012020120000,原木町,41.745092,141.029153,0,1,E92472848228,2848228
01,北海道,01202,函館市,012020121000,万代町,41.787869,140.728545,0,1,E92471993823,1993823
01,北海道,01202,函館市,012020122000,日浦町,41.744697,141.042634,0,1,E92472849117,2849117
01,北海道,01202,函館市,012020123000,東川町,41.762187,140.724973,0,1,E92471969816,1969816
01,北海道,01202,函館市,012020124000,東畑町,41.793300,140.872718,0,1,E92472782957,2782957
01,北海道,01202,函館市,012020125001,東山一丁目,41.812266,140.771387,0,3,E92472775481,2775481
01,北海道,01202,函館市,012020125002,東山二丁目,41.807751,140.775189,0,3,E92472775434,2775434
01,北海道,01202,函館市,012020125003,東山三丁目,41.811140,140.779209,0,3,E92472775545,2775545
01,北海道,01202,函館市,012020126000,東山町,41.829135,140.816685,0,1,E92472779346,2779346
01,北海道,01202,函館市,012020127000,人見町,41.781762,140.759604,0,1,E92472771641,2771641
01,北海道,01202,函館市,012020128000,日乃出町,41.774332,140.752515,0,1,E92472771246,2771246
01,北海道,01202,函館市,012020129000,日ノ浜町,41.780690,141.102959,0,1,E92472882426,2882426
01,北海道,01202,函館市,012020130001,日吉町一丁目,41.788492,140.790168,0,3,E92472772921,2772921
01,北海道,01202,函館市,012020130002,日吉町二丁目,41.795569,140.791915,0,3,E92472772986,2772986
01,北海道,01202,函館市,012020130003,日吉町三丁目,41.796182,140.783878,0,3,E92472772897,2772897
01,北海道,01202,函館市,012020130004,日吉町四丁目,41.803567,140.793085,0,3,E92472775391,2775391
01,北海道,01202,函館市,012020131000,日和山町,41.803241,141.033514,0,1,E92472875371,2875371
01,北海道,01202,函館市,012020132000,広野町,41.778264,140.768144,0,1,E92472771399,2771399
01,北海道,01202,函館市,012020133000,深堀町,41.786557,140.777119,0,1,E92472772496,2772496
01,北海道,01202,函館市,012020134000,双見町,41.979000,140.897969,0,1,E92475156678,5156678
01,北海道,01202,函館市,012020135000,船見町,41.765738,140.704465,0,1,E92471968947,1968947
01,北海道,01202,函館市,012020136000,古川町,41.761590,140.865703,0,1,E92472758826,2758826
01,北海道,01202,函館市,012020137000,古部町,41.860788,141.111946,0,1,E92475222289,5222289
01,北海道,01202,函館市,012020138000,弁才町,41.731237,140.988105,0,1,E92472844474,2844474
01,北海道,01202,函館市,012020139000,弁天町,41.777075,140.704287,0,1,E92471992374,1992374
01,北海道,01202,函館市,012020140000,宝来町,41.760107,140.721198,0,1,E92471969498,1969498
01,北海道,01202,函館市,012020141000,堀川町,41.778185,140.743866,0,1,E92472771187,2771187
01,北海道,01202,函館市,012020142000,本町,41.788758,140.752265,0,1,E92472771813,2771813
01,北海道,01202,函館市,012020143001,本通一丁目,41.798522,140.763080,0,3,E92472774324,2774324
01,北海道,01202,函館市,012020143002,本通二丁目,41.799514,140.769963,0,3,E92472775118,2775118
01,北海道,01202,函館市,012020143003,本通三丁目,41.793947,140.774290,0,3,E92472772791,2772791
01,北海道,01202,函館市,012020143004,本通四丁目,41.799194,140.775747,0,3,E92472775138,2775138
01,北海道,01202,函館市,012020144000,米原町,41.785438,140.852937,0,1,E92472782473,2782473
01,北海道,01202,函館市,012020145000,鱒川町,41.830839,140.863134,0,1,E92472788281,2788281
01,北海道,01202,函館市,012020146000,松陰町,41.788236,140.761387,0,1,E92472771913,2771913
01,北海道,01202,函館市,012020147000,松風町,41.771977,140.732647,0,1,E92471993318,1993318
01,北海道,01202,函館市,012020148000,松川町,41.785405,140.736207,0,1,E92471993682,1993682
01,北海道,01202,函館市,012020149000,的場町,41.778620,140.751848,0,1,E92472771278,2771278
01,北海道,01202,函館市,012020150000,丸山町,41.755373,140.977844,0,1,E92472769566,2769566
01,北海道,01202,函館市,012020151000,御崎町,41.799099,141.171833,0,1,E92472894318,2894318
01,北海道,01202,函館市,012020152000,水元町,41.847119,140.784381,0,1,E92472778864,2778864
01,北海道,01202,函館市,012020153000,三森町,41.885211,140.862310,0,1,E92475125249,5125249
01,北海道,01202,函館市,012020154001,港町一丁目,41.802166,140.725260,0,3,E92471996249,1996249
01,北海道,01202,函館市,012020154002,港町二丁目,41.804674,140.716767,0,3,E92471996184,1996184
01,北海道,01202,函館市,012020154003,港町三丁目,41.810650,140.715643,0,3,E92471996446,1996446
01,北海道,01202,函館市,012020155001,美原一丁目,41.815361,140.749696,0,3,E92472774733,2774733
01,北海道,01202,函館市,012020155002,美原二丁目,41.818303,140.758721,0,3,E92472774839,2774839
01,北海道,01202,函館市,012020155003,美原三丁目,41.820443,140.746569,0,3,E92472774759,2774759
01,北海道,01202,函館市,012020155004,美原四丁目,41.822150,140.755953,0,3,E92472774883,2774883
01,北海道,01202,函館市,012020155005,美原五丁目,41.823967,140.751002,0,3,E92472774878,2774878
01,北海道,01202,函館市,012020156000,見晴町,41.799254,140.812811,0,1,E92472776238,2776238
01,北海道,01202,函館市,012020157000,宮前町,41.789671,140.738328,0,1,E92471993934,1993934
01,北海道,01202,函館市,012020158000,女那川町,41.769239,141.086456,0,1,E92472857898,2857898
01,北海道,01202,函館市,012020159000,元町,41.763148,140.712155,0,1,E92471968938,1968938
01,北海道,01202,函館市,012020160000,元村町,41.819727,141.165862,0,1,E92472894855,2894855
01,北海道,01202,函館市,012020161000,紅葉山町,41.863206,140.912510,0,1,E92475131438,5131438
01,北海道,01202,函館市,012020162000,安浦町,41.911802,140.947502,0,1,E92475138256,5138256
01,北海道,01202,函館市,012020163000,谷地頭町,41.751545,140.712205,0,1,E92471968632,1968632
01,北海道,01202,函館市,012020164000,梁川町,41.790649,140.747160,0,1,E92472771737,2771737
01,北海道,01202,函館市,012020165000,柳町,41.793725,140.761943,0,1,E92472771949,2771949
01,北海道,01202,函館市,012020166001,山の手一丁目,41.806766,140.779841,0,3,E92472775513,2775513
01,北海道,01202,函館市,012020166002,山の手二丁目,41.801025,140.781410,0,3,E92472775252,2775252
01,北海道,01202,函館市,012020166003,山の手三丁目,41.805926,140.784395,0,3,E92472775297,2775297
01,北海道,01202,函館市,012020167000,弥生町,41.768704,140.706127,0,1,E92471968978,1968978
01,北海道,01202,函館市,012020168001,湯川町一丁目,41.778535,140.782998,0,3,E92472772289,2772289
01,北海道,01202,函館市,012020168002,湯川町二丁目,41.780523,140.788821,0,3,E92472772616,2772616
01,北海道,01202,函館市,012020168003,湯川町三丁目,41.779012,140.795101,0,3,E92472772633,2772633
01,北海道,01202,函館市,012020169000,湯浜町,41.777217,140.775541,0,1,E92472772195,2772195
01,北海道,01202,函館市,012020170000,吉川町,41.793813,140.729496,0,1,E92471993867,1993867
01,北海道,01202,函館市,012020171000,若松町,41.774661,140.728040,0,1,E92471993259,1993259