code,city,prefix
01101,札幌市中央区,E924786
01102,札幌市北区,E92478
01103,札幌市東区,E92478
01104,札幌市白石区,E92478
01105,札幌市豊平区,E924786
01106,札幌市南区,E92478
01107,札幌市西区,E92478
01108,札幌市厚別区,E9247
01109,札幌市手稲区,E92478
01110,札幌市清田区,E924786
01202,函館市,E9247
01203,小樽市,E92478
01204,旭川市,E927
01205,室蘭市,E92475
01206,釧路市,E92
01207,帯広市,E9248
01208,北見市,E9272
01209,夕張市,E924
01210,岩見沢市,E92479
01211,網走市,E9272
01212,留萌市,E92713
01213,苫小牧市,E9247
01214,稚内市,E92719
01215,美唄市,E92
01216,芦別市,E927
01217,江別市,E9247
01218,赤平市,E92713
01219,紋別市,E9272
01220,士別市,E9272
01221,名寄市,E92724
01222,三笠市,E92479
01223,根室市,E92
01224,千歳市,E9247
01225,滝川市,E92713
01226,砂川市,E927132
01227,歌志内市,E927133
01228,深川市,E92713
01229,富良野市,E92
01230,登別市,E924758
01231,恵庭市,E9247
01233,伊達市,E9247
01234,北広島市,E9247
01235,石狩市,E92
01236,北斗市,E9247
01303,石狩郡当別町,E92
01304,石狩郡新篠津村,E924797
01331,松前郡松前町,E9
01332,松前郡福島町,E92471
01333,上磯郡知内町,E92471
01334,上磯郡木古内町,E92471
01337,亀田郡七飯町,E9247
01343,茅部郡鹿部町,E9247
01345,茅部郡森町,E9247
01346,二海郡八雲町,E9
01347,山越郡長万部町,E9247
01361,檜山郡江差町,E9247
01362,檜山郡上ノ国町,E92471
01363,檜山郡厚沢部町,E9247
01364,爾志郡乙部町,E92474
01367,奥尻郡奥尻町,E91696
01370,瀬棚郡今金町,E9
01371,久遠郡せたな町,E91696
01391,島牧郡島牧村,E9
01392,寿都郡寿都町,E92477
01393,寿都郡黒松内町,E92477
01394,磯谷郡蘭越町,E92477
01395,虻田郡ニセコ町,E9247
01396,虻田郡真狩村,E9247
01397,虻田郡留寿都村,E924781
01398,虻田郡喜茂別町,E92478
01399,虻田郡京極町,E92478
01400,虻田郡倶知安町,E9247
01401,岩内郡共和町,E924776
01402,岩内郡岩内町,E92477
01403,古宇郡泊村,E92477
01404,古宇郡神恵内村,E924778
01405,積丹郡積丹町,E92
01406,古平郡古平町,E924779
01407,余市郡仁木町,E9247
01408,余市郡余市町,E9247
01409,余市郡赤井川村,E92478
01423,空知郡南幌町,E92479
01424,空知郡奈井江町,E927132
01425,空知郡上砂川町,E92713
01427,夕張郡由仁町,E924795
01428,夕張郡長沼町,E92479
01429,夕張郡栗山町,E92479
01430,樺戸郡月形町,E92
01431,樺戸郡浦臼町,E927132
01432,樺戸郡新十津川町,E92713
01433,雨竜郡妹背牛町,E927135
01434,雨竜郡秩父別町,E92713
01436,雨竜郡雨竜町,E92713
01437,雨竜郡北竜町,E927135
01438,雨竜郡沼田町,E92713
01452,上川郡鷹栖町,E92721
01453,上川郡東神楽町,E92721
01454,上川郡当麻町,E92721
01455,上川郡比布町,E92721
01456,上川郡愛別町,E927218
01457,上川郡上川町,E9272
01458,上川郡東川町,E92721
01459,上川郡美瑛町,E92721
01460,空知郡上富良野町,E92721
01461,空知郡中富良野町,E92721
01462,空知郡南富良野町,E92487
01463,勇払郡占冠村,E92487
01464,上川郡和寒町,E9272
01465,上川郡剣淵町,E9272
01468,上川郡下川町,E92724
01469,中川郡美深町,E92724
01470,中川郡音威子府村,E927
01471,中川郡中川町,E9271
01472,雨竜郡幌加内町,E927
01481,増毛郡増毛町,E9271
01482,留萌郡小平町,E9271
01483,苫前郡苫前町,E92716
01484,苫前郡羽幌町,E9271
01485,苫前郡初山別村,E92716
01486,天塩郡遠別町,E92716
01487,天塩郡天塩町,E92719
01511,宗谷郡猿払村,E927
01512,枝幸郡浜頓別町,E927
01513,枝幸郡中頓別町,E927
01514,枝幸郡枝幸町,E9272
01516,天塩郡豊富町,E92719
01517,礼文郡礼文町,E927188
01518,利尻郡利尻町,E927185
01519,利尻郡利尻富士町,E92718
01520,天塩郡幌延町,E92719
01543,網走郡美幌町,E92723
01544,網走郡津別町,E92723
01545,斜里郡斜里町,E9273
01546,斜里郡清里町,E92731
01547,斜里郡小清水町,E927
01549,常呂郡訓子府町,E9272
01550,常呂郡置戸町,E92722
01552,常呂郡佐呂間町,E9272
01555,紋別郡遠軽町,E9272
01559,紋別郡湧別町,E9272
01560,紋別郡滝上町,E9272
01561,紋別郡興部町,E9272
01562,紋別郡西興部村,E9272
01563,紋別郡雄武町,E9272
01564,網走郡大空町,E92723
01571,虻田郡豊浦町,E9247
01575,有珠郡壮瞥町,E9247
01578,白老郡白老町,E9247
01581,勇払郡厚真町,E92479
01584,虻田郡洞爺湖町,E9247
01585,勇払郡安平町,E92479
01586,勇払郡むかわ町,E924
01601,沙流郡日高町,E924
01602,沙流郡平取町,E924
01604,新冠郡新冠町,E9248
01607,浦河郡浦河町,E9248
01608,様似郡様似町,E9248
01609,幌泉郡えりも町,E92485
01610,日高郡新ひだか町,E92484
01631,河東郡音更町,E92488
01632,河東郡士幌町,E92488
01633,河東郡上士幌町,E92
01634,河東郡鹿追町,E9248
01635,上川郡新得町,E92
01636,上川郡清水町,E9248
01637,河西郡芽室町,E9248
01638,河西郡中札内村,E9248
01639,河西郡更別村,E92488
01641,広尾郡大樹町,E9248
01642,広尾郡広尾町,E92485
01643,中川郡幕別町,E9248
01644,中川郡池田町,E92488
01645,中川郡豊頃町,E92488
01646,中川郡本別町,E9248
01647,足寄郡足寄町,E92
01648,足寄郡陸別町,E9272
01649,十勝郡浦幌町,E9248
01661,釧路郡釧路町,E924
01662,厚岸郡厚岸町,E92497
01663,厚岸郡浜中町,E9249
01664,川上郡標茶町,E92
01665,川上郡弟子屈町,E927
01667,阿寒郡鶴居村,E92
01668,白糠郡白糠町,E92489
01691,野付郡別海町,E92
01692,標津郡中標津町,E92731
01693,標津郡標津町,E92731
01694,目梨郡羅臼町,E9273
02201,青森市,E9244
02202,弘前市,E92447
02203,八戸市,E9244
02204,黒石市,E9244
02205,五所川原市,E92447
02206,十和田市,E92448
02207,三沢市,E924486
02208,むつ市,E92472
02209,つがる市,E92447
02210,平川市,E9244
02301,東津軽郡平内町,E92448
02303,東津軽郡今別町,E92471
02304,東津軽郡蓬田村,E9244795
02307,東津軽郡外ケ浜町,E924
02321,西津軽郡鰺ヶ沢町,E92447
02323,西津軽郡深浦町,E9
02343,中津軽郡西目屋村,E92447
02361,南津軽郡藤崎町,E92447
02362,南津軽郡大鰐町,E924473
02367,南津軽郡田舎館村,E9244761
02381,北津軽郡板柳町,E92447
02384,北津軽郡鶴田町,E924475
02387,北津軽郡中泊町,E924
02401,上北郡野辺地町,E92448
02402,上北郡七戸町,E92448
02405,上北郡六戸町,E92448
02406,上北郡横浜町,E924
02408,上北郡東北町,E92448
02411,上北郡六ヶ所村,E924489
02412,上北郡おいらせ町,E92448
02423,下北郡大間町,E924724
02424,下北郡東通村,E92472
02425,下北郡風間浦村,E92472
02426,下北郡佐井村,E92472
02441,三戸郡三戸町,E9244
02442,三戸郡五戸町,E92448
02443,三戸郡田子町,E924458
02445,三戸郡南部町,E9244
02446,三戸郡階上町,E924491
02450,三戸郡新郷村,E924482
03201,盛岡市,E9244
03202,宮古市,E9244
03203,大船渡市,E92443
03205,花巻市,E92442
03206,北上市,E92442
03207,久慈市,E92446
03208,遠野市,E9244
03209,一関市,E924
03210,陸前高田市,E924431
03211,釜石市,E92443
03213,二戸市,E92445
03214,八幡平市,E92445
03215,奥州市,E92442
03216,滝沢市,E924452
03301,岩手郡雫石町,E9244
03302,岩手郡葛巻町,E9244
03303,岩手郡岩手町,E92445
03321,紫波郡紫波町,E92442
03322,紫波郡矢巾町,E9244
03366,和賀郡西和賀町,E9244
03381,胆沢郡金ケ崎町,E92442
03402,西磐井郡平泉町,E924422
03441,気仙郡住田町,E924434
03461,上閉伊郡大槌町,E92443
03482,下閉伊郡山田町,E92443
03483,下閉伊郡岩泉町,E92446
03484,下閉伊郡田野畑村,E92446
03485,下閉伊郡普代村,E924465
03501,九戸郡軽米町,E9244
03503,九戸郡野田村,E924465
03506,九戸郡九戸村,E924459
03507,九戸郡洋野町,E9244
03524,二戸郡一戸町,E92445
04101,仙台市青葉区,E9241
04102,仙台市宮城野区,E92418
04103,仙台市若林区,E924181
04104,仙台市太白区,E9241
04105,仙台市泉区,E9241
04202,石巻市,E9241
04203,塩竈市,E924182
04205,気仙沼市,E924
04206,白石市,E924149
04207,名取市,E9241
04208,角田市,E9241
04209,多賀城市,E92418
04211,岩沼市,E924157
04212,登米市,E92418
04213,栗原市,E924
04214,東松島市,E92418
04215,大崎市,E9241
04216,富谷市,E92418
04301,刈田郡蔵王町,E924149
04302,刈田郡七ヶ宿町,E92414
04321,柴田郡大河原町,E9241
04322,柴田郡村田町,E9241
04323,柴田郡柴田町,E924157
04324,柴田郡川崎町,E9241
04341,伊具郡丸森町,E9241
04361,亘理郡亘理町,E924157
04362,亘理郡山元町,E924157
04401,宮城郡松島町,E92418
04404,宮城郡七ヶ浜町,E924182
04406,宮城郡利府町,E92418
04421,黒川郡大和町,E92418
04422,黒川郡大郷町,E92418
04424,黒川郡大衡村,E924184
04444,加美郡色麻町,E924184
04445,加美郡加美町,E9241
04501,遠田郡涌谷町,E924185
04505,遠田郡美里町,E924185
04581,牡鹿郡女川町,E9241
04606,本吉郡南三陸町,E9241
05201,秋田市,E9244
05202,能代市,E9
05203,横手市,E92441
05204,大館市,E9244
05206,男鹿市,E91666
05207,湯沢市,E92441
05209,鹿角市,E9244
05210,由利本荘市,E9
05211,潟上市,E92444
05212,大仙市,E9244
05213,北秋田市,E92444
05214,にかほ市,E9
05215,仙北市,E9244
05303,鹿角郡小坂町,E9244
05327,北秋田郡上小阿仁村,E924445
05346,山本郡藤里町,E9244
05348,山本郡三種町,E9
05349,山本郡八峰町,E9244
05361,南秋田郡五城目町,E924444
05363,南秋田郡八郎潟町,E924444
05366,南秋田郡井川町,E92444
05368,南秋田郡大潟村,E9
05434,仙北郡美郷町,E92441
05463,雄勝郡羽後町,E92441
05464,雄勝郡東成瀬村,E92441
06201,山形市,E92417
06202,米沢市,E9
06203,鶴岡市,E91639
06204,酒田市,E9
06205,新庄市,E92417
06206,寒河江市,E92417
06207,上山市,E9241
06208,村山市,E924175
06209,長井市,E9
06210,天童市,E924172
06211,東根市,E92417
06212,尾花沢市,E92417
06213,南陽市,E9241
06301,東村山郡山辺町,E92417
06302,東村山郡中山町,E92417
06321,西村山郡河北町,E92417
06322,西村山郡西川町,E9
06323,西村山郡朝日町,E9
06324,西村山郡大江町,E92417
06341,北村山郡大石田町,E924175
06361,最上郡金山町,E924
06362,最上郡最上町,E92417
06363,最上郡舟形町,E92417
06364,最上郡真室川町,E924
06365,最上郡大蔵村,E92417
06366,最上郡鮭川村,E92417
06367,最上郡戸沢村,E924177
06381,東置賜郡高畠町,E92414
06382,東置賜郡川西町,E9
06401,西置賜郡小国町,E9163
06402,西置賜郡白鷹町,E9241
06403,西置賜郡飯豊町,E9
06426,東田川郡三川町,E916399
06428,東田川郡庄内町,E9
06461,飽海郡遊佐町,E9
07201,福島市,E92414
07202,会津若松市,E9
07203,郡山市,E9241
07204,いわき市,E9241
07205,白河市,E92411
07207,須賀川市,E92411
07208,喜多方市,E91636
07209,相馬市,E9241
07210,二本松市,E92414
07211,田村市,E9241
07212,南相馬市,E92415
07213,伊達市,E92414
07214,本宮市,E92414
07301,伊達郡桑折町,E92414
07303,伊達郡国見町,E92414
07308,伊達郡川俣町,E92414
07322,安達郡大玉村,E924142
07342,岩瀬郡鏡石町,E924118
07344,岩瀬郡天栄村,E9
07362,南会津郡下郷町,E91633
07364,南会津郡檜枝岐村,E916334
07367,南会津郡只見町,E9163
07368,南会津郡南会津町,E91633
07402,耶麻郡北塩原村,E9
07405,耶麻郡西会津町,E91636
07407,耶麻郡磐梯町,E9
07408,耶麻郡猪苗代町,E92414
07421,河沼郡会津坂下町,E91636
07422,河沼郡湯川村,E916363
07423,河沼郡柳津町,E9163
07444,大沼郡三島町,E9163
07445,大沼郡金山町,E9163
07446,大沼郡昭和村,E916338
07447,大沼郡会津美里町,E9163
07461,西白河郡西郷村,E92411
07464,西白河郡泉崎村,E92411
07465,西白河郡中島村,E92411
07466,西白河郡矢吹町,E92411
07481,東白川郡棚倉町,E924115
07482,東白川郡矢祭町,E92411
07483,東白川郡塙町,E92411
07484,東白川郡鮫川村,E92411
07501,石川郡石川町,E92411
07502,石川郡玉川村,E92411
07503,石川郡平田村,E924119
07504,石川郡浅川町,E924115
07505,石川郡古殿町,E924116
07521,田村郡三春町,E9241
07522,田村郡小野町,E924119
07541,双葉郡広野町,E92412
07542,双葉郡楢葉町,E92412
07543,双葉郡富岡町,E92412
07544,双葉郡川内村,E924127
07545,双葉郡大熊町,E9241
07546,双葉郡双葉町,E92415
07547,双葉郡浪江町,E9241
07548,双葉郡葛尾村,E9241
07561,相馬郡新地町,E924154
07564,相馬郡飯舘村,E9241
08201,水戸市,E92177
08202,日立市,E92
08203,土浦市,E92177
08204,古河市,E91399
08205,石岡市,E92177
08207,結城市,E913996
08208,龍ヶ崎市,E9217
08210,下妻市,E9
08211,常総市,E9
08212,常陸太田市,E92
08214,高萩市,E924113
08215,北茨城市,E9241
08216,笠間市,E92177
08217,取手市,E9217
08219,牛久市,E92177
08220,つくば市,E92177
08221,ひたちなか市,E92177
08222,鹿嶋市,E921773
08223,潮来市,E9217
08224,守谷市,E9
08225,常陸大宮市,E92
08226,那珂市,E92177
08227,筑西市,E9
08228,坂東市,E913993
08229,稲敷市,E9217
08230,かすみがうら市,E92177
08231,桜川市,E921774
08232,神栖市,E9217
08233,行方市,E92177
08234,鉾田市,E92177
08235,つくばみらい市,E9
08236,小美玉市,E92177
08302,東茨城郡茨城町,E92177
08309,東茨城郡大洗町,E921776
08310,東茨城郡城里町,E92177
08341,那珂郡東海村,E921779
08364,久慈郡大子町,E924112
08442,稲敷郡美浦村,E921772
08443,稲敷郡阿見町,E92177
08447,稲敷郡河内町,E92174
08521,結城郡八千代町,E91399
08542,猿島郡五霞町,E91399
08546,猿島郡境町,E913993
08564,北相馬郡利根町,E921747
09201,宇都宮市,E9
09202,足利市,E91399
09203,栃木市,E91399
09204,佐野市,E91399
09205,鹿沼市,E91399
09206,日光市,E91
09208,小山市,E91399
09209,真岡市,E9
09210,大田原市,E9
09211,矢板市,E916333
09213,那須塩原市,E9
09214,さくら市,E9
09215,那須烏山市,E92
09216,下野市,E91399
09301,河内郡上三川町,E91399
09342,芳賀郡益子町,E92177
09343,芳賀郡茂木町,E921777
09344,芳賀郡市貝町,E921777
09345,芳賀郡芳賀町,E921777
09361,下都賀郡壬生町,E91399
09364,下都賀郡野木町,E91399
09384,塩谷郡塩谷町,E916333
09386,塩谷郡高根沢町,E9
09407,那須郡那須町,E9
09411,那須郡那珂川町,E92411
10201,前橋市,E91398
10202,高崎市,E91398
10203,桐生市,E9139
10204,伊勢崎市,E9139
10205,太田市,E913994
10206,沼田市,E91
10207,館林市,E91399
10208,渋川市,E91398
10209,藤岡市,E91398
10210,富岡市,E91398
10211,安中市,E91398
10212,みどり市,E9139
10344,北群馬郡榛東村,E9139883
10345,北群馬郡吉岡町,E91398
10366,多野郡上野村,E91398
10367,多野郡神流町,E913982
10382,甘楽郡下仁田町,E91398
10383,甘楽郡南牧村,E91398
10384,甘楽郡甘楽町,E913985
10421,吾妻郡中之条町,E91
10424,吾妻郡長野原町,E913987
10425,吾妻郡嬬恋村,E9139
10426,吾妻郡草津町,E9139877
10428,吾妻郡高山村,E913988
10429,吾妻郡東吾妻町,E91398
10443,利根郡片品村,E9163
10444,利根郡川場村,E916323
10448,利根郡昭和村,E913989
10449,利根郡みなかみ町,E91
10464,佐波郡玉村町,E9139865
10521,邑楽郡板倉町,E913995
10522,邑楽郡明和町,E91399
10523,邑楽郡千代田町,E913994
10524,邑楽郡大泉町,E913994
10525,邑楽郡邑楽町,E913994
11101,さいたま市西区,E9139
11102,さいたま市北区,E9139
11103,さいたま市大宮区,E9139688
11104,さいたま市見沼区,E9139
11105,さいたま市中央区,E9139688
11106,さいたま市桜区,E913968
11107,さいたま市浦和区,E9139688
11108,さいたま市南区,E913968
11109,さいたま市緑区,E913968
11110,さいたま市岩槻区,E9139
11201,川越市,E9139
11202,熊谷市,E91399
11203,川口市,E91396
11206,行田市,E91399
11207,秩父市,E9139
11208,所沢市,E91396
11209,飯能市,E9139
11210,加須市,E91399
11211,本庄市,E91398
11212,東松山市,E913991
11214,春日部市,E91399
11215,狭山市,E913967
11216,羽生市,E91399
11217,鴻巣市,E91399
11218,深谷市,E9139
11219,上尾市,E913992
11221,草加市,E913969
11222,越谷市,E9139
11223,蕨市,E913968
11224,戸田市,E913968
11225,入間市,E913967
11227,朝霞市,E913968
11228,志木市,E913968
11229,和光市,E9139685
11230,新座市,E913968
11231,桶川市,E913992
11232,久喜市,E913992
11233,北本市,E91399
11234,八潮市,E913969
11235,富士見市,E913968
11237,三郷市,E913969
11238,蓮田市,E913992
11239,坂戸市,E913991
11240,幸手市,E91399
11241,鶴ヶ島市,E9139
11242,日高市,E913967
11243,吉川市,E9139
11245,ふじみ野市,E91396
11246,白岡市,E913992
11301,北足立郡伊奈町,E913992
11324,入間郡三芳町,E91396
11326,入間郡毛呂山町,E9139
11327,入間郡越生町,E9139
11341,比企郡滑川町,E913991
11342,比企郡嵐山町,E913991
11343,比企郡小川町,E9139
11346,比企郡川島町,E91399
11347,比企郡吉見町,E9139916
11348,比企郡鳩山町,E913991
11349,比企郡ときがわ町,E9139
11361,秩父郡横瀬町,E9139832
11362,秩父郡皆野町,E913983
11363,秩父郡長瀞町,E913983
11365,秩父郡小鹿野町,E91398
11369,秩父郡東秩父村,E913983
11381,児玉郡美里町,E91398
11383,児玉郡神川町,E91398
11385,児玉郡上里町,E913986
11408,大里郡寄居町,E9139
11442,南埼玉郡宮代町,E913992
11464,北葛飾郡杉戸町,E91399
11465,北葛飾郡松伏町,E9139
12101,千葉市中央区,E921744
12102,千葉市花見川区,E92174
12103,千葉市稲毛区,E921744
12104,千葉市若葉区,E92174
12105,千葉市緑区,E92174
12106,千葉市美浜区,E921744
12202,銚子市,E9217
12203,市川市,E91396
12204,船橋市,E9
12205,館山市,E91393
12206,木更津市,E9
12207,松戸市,E913969
12208,野田市,E9139
12210,茂原市,E92174
12211,成田市,E921748
12212,佐倉市,E92174
12213,東金市,E921745
12215,旭市,E9217
12216,習志野市,E92174
12217,柏市,E9
12218,勝浦市,E9217
12219,市原市,E92174
12220,流山市,E913969
12221,八千代市,E921747
12222,我孫子市,E9
12223,鴨川市,E9
12224,鎌ヶ谷市,E9
12225,君津市,E9
12226,富津市,E9139
12227,浦安市,E913966
12228,四街道市,E92174
12229,袖ヶ浦市,E9
12230,八街市,E92174
12231,印西市,E92174
12232,白井市,E921747
12233,富里市,E921748
12234,南房総市,E9
12235,匝瑳市,E92174
12236,香取市,E9217
12237,山武市,E92174
